name,group,definition
Condition Onset,,"Descriptions of when and how a participant experienced onset of their chronic fatigue symptoms. [PDF counts: 19 files, 24 references]"
Conditions,,"Conditions described by participants. [PDF counts: 2 files, 2 references]"
CFS,Conditions,"Instances of participants describing themselves as having CFS. [PDF counts: 7 files, 7 references]"
Congenital Condition,Conditions,"Instances of participants describing themselves as having a congenital condition. [PDF counts: 1 files, 1 references]"
EDS,Conditions,"Instances of participants describing themselves as having EDS of any type. [PDF counts: 9 files, 10 references]"
Fibromyalgia,Conditions,"Instances of participants describing themselves as having Fibromyalgia. [PDF counts: 3 files, 3 references]"
FND,Conditions,"Instances of participants describing themselves as having FND. [PDF counts: 2 files, 2 references]"
Hypermobility,Conditions,"Instances of participants describing themselves as having JHS. [PDF counts: 11 files, 13 references]"
Hypernoea,Conditions,"Instances of participants describing themselves as having Hypernoea. Only 1 instance is recorded and information on the condition is not available. It is still included due to the participant description. [PDF counts: 1 files, 1 references]"
IBS,Conditions,"Instances of participants describing themselves as having IBS. [PDF counts: 1 files, 1 references]"
Long Covid,Conditions,"Instances of participants describing themselves as having Long Covid. [PDF counts: 2 files, 2 references]"
ME,Conditions,"Instances of participants describing themselves as having ME. [PDF counts: 1 files, 2 references]"
MS,Conditions,"Instances of participants describing themselves as having MS. [PDF counts: 1 files, 2 references]"
PEM,Conditions,"Instances of participants describing themselves as having PEM. [PDF counts: 4 files, 4 references]"
POTS-Tachycardia,Conditions,"Instances of participants describing themselves as having POTS or any type of Tachycardia. [PDF counts: 8 files, 10 references]"
Sjogren's Syndrome,Conditions,"Instances of participants describing themselves as having Sjogren’s Syndrome. [PDF counts: 1 files, 1 references]"
Sleep Apnea,Conditions,Instances of participants describing themselves as having Sleep Apnea.
Small Fibre Neuropathy,Conditions,"Instances of participants describing themselves as having Small Fibre Neuropathy. [PDF counts: 1 files, 1 references]"
Device Use or Misuse,,Descriptions of tracker usage methods by participants.
Device Misuse,Device Use or Misuse,Descriptions of the usage of trackers by participants in contrast to their designed intent.
Device Misuse > Negative Misuse,Device Use or Misuse,"Descriptions of the usage of trackers by participants in contrast to their designed intent that had negative results for the participant. [PDF counts: 1 files, 2 references]"
Device Misuse > Positive Misuse,Device Use or Misuse,"Descriptions of the usage of trackers by participants in contrast to their designed intent that had positive results for the participant. [PDF counts: 13 files, 50 references]"
Device Use,Device Use or Misuse,Descriptions of the usage of trackers by participants within their intended and designed scope.
Device Use > Negative Use,Device Use or Misuse,"Descriptions of the usage of trackers by participants within their intended and designed scope that had negative results for the participant. [PDF counts: 4 files, 5 references]"
Device Use > Positive Use,Device Use or Misuse,"Descriptions of the usage of trackers by participants within their intended and designed scope that had positive results for the participant. [PDF counts: 6 files, 16 references]"
Devices and Apps,,Any reference to a tracker or a trackers features made by a participant.
Design Negative,Devices and Apps,"Negative feedback regarding some aspect of a tracker as described by a participant. [PDF counts: 1 files, 1 references]"
Design Negative > Affordability,Devices and Apps,"Negative feedback from a participant describing the cost of trackers, whether initial purchase or some other cost such as subscriptions or replacement parts. [PDF counts: 4 files, 6 references]"
Design Negative > Device Durability,Devices and Apps,Negative feedback from a participant describing the physical durability of a tracker.
Design Negative > Energy Levels,Devices and Apps,"Negative feedback from a participant describing features of a tracker that record, calculate or present user energy levels at any point of use. [PDF counts: 3 files, 8 references]"
Design Negative > Fitness Focus,Devices and Apps,"Negative feedback from a participant describing a tracker as having a focus on increasing the fitness of the user. [PDF counts: 11 files, 19 references]"
Design Negative > Guilt,Devices and Apps,"Negative feedback from a participant describing any guilt felt by the participant as a result of tracker usage. [PDF counts: 5 files, 8 references]"
Design Negative > Harassment,Devices and Apps,"Negative feedback from a participant describing instances they felt harassed by a tracker and its notifications. [PDF counts: 7 files, 12 references]"
Design Negative > Physical Form,Devices and Apps,"Negative feedback from a participant describing the physical form of a tracker. [PDF counts: 2 files, 2 references]"
Design Negative > Presentation,Devices and Apps,"Negative feedback from a participant describing the presentation of a tracker. This could be the basic user interface, or the detailed presentation of recorded data, or the lack of presentation of something the participants desired to see. [PDF counts: 5 files, 7 references]"
Design Negative > Reading Frequency,Devices and Apps,"Negative feedback from a participant describing dissatisfaction regarding the frequency a tracker takes readings. For example, a participant with POTS may require more frequent heart rate readings. [PDF counts: 3 files, 7 references]"
